vid,payee,verdict,confidence,overtaker_interest,recommended_action,false_positive_markers,public_context,data_explanation
IV0000002957,BLUE CROSS BLUE SHIELD OF AZ INC,false_positive_marker,high,1,suppress_marker,new_vendor_large; new_vendor_dominant; offcontract,,"All flagged rows are ADOA (Dept of Administration) payments under appropriation ""NON APPROPRIATED BENEFITS PROGRAM"", category OTHER OPERATING EXPENDITURES, paid via ACH — i.e. the State of Arizona's self-insured employee health benefits program with BCBS-AZ as the medical health plan/TPA. hv_base shows continuous, steadily-growing payments back to FY2016 ($171M in 2016 rising to $455M in 2025) under the SAME agency and SAME appropriation, so this is a long-standing benefits disbursement, not a new or discretionary relationship. The model's first_year_seen=2021 and the new_vendor_dominant/new_v"
VC0000004547,UNITED HEALTHCARE,explained_benign,high,2,downgrade,peer_outlier; robust_z_in_agencycat; offcontract; sole_source; whole_dollar; nonstd_rail; manual_rail_disc,,"All 158 flagged Tier-1 txns (and full hv_base history) are a single agency (DEPT OF ADMINISTRATION) paying UnitedHealthcare out of appropriation 'NON APPROPRIATED BENEFITS PROGRAM' from fund 'SPECIAL EMPLOYEE HEALTH INSURANCE TRUST FUND', category OTHER OPERATING EXPENDITURES. These are the State of Arizona's self-insured employee health-benefits-trust premium/administration remittances to its medical carrier: 53-76 regular payments per year in the $7-10M range (FY2016 $351M, FY2017 $375M, FY2018 $385M, FY2021 $42M partial). This is benign-by-structure (health-plan/benefits disbursement), anal"
VC0000023979,PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,explained_benign,high,2,downgrade,june_round; round_1m; round_100k; agency_benford,,"The $1.005B Tier-1 total is dominated by FY2021 appropriations literally named ""PSPRS DPS UNFUNDED LIABILITY REDUCTION"" and ""PSPRS CORP CORRECTIONS UNFUNDED LIABILITY REDUCTION"" (category OTHER OPERATING EXPENDITURES) — a one-time legislative lump-sum paydown of pension unfunded liability, booked as round $99M and $5M amounts in June FY2021. These exact round-number, fiscal-year-end characteristics are precisely what triggered the june_round, round_1m, and round_100k markers; the appropriation names themselves DOCUMENT the purpose (pension liability paydown), which is benign-by-structure per t"
IV0000039519,NAPHCARE INC,mixed,high,4,annotate,no_contract_named; offcontract; new_vendor_large; new_vendor_dominant,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation.","All 88 Tier-1 txns (203 hv rows, FY2023-2025) are one payee -> one agency (DEPT OF CORRECTIONS), one category (PROFESSIONAL AND OUTSIDE SERVICES), one appropriation (INMATE HEALTH CARE CONTRACTED SERVICES), one contract CTR060508 ('INMATE CORRECTIONAL HEALTHCARE'/'...AMENDMENT'), paid as regular ACH installments. This is a single documented major statewide correctional-healthcare contract. sole_source/whole_dollar/round_1m/peer_outlier reflect the contract's nature (awarded full-risk capitation, large size, round installment billing) and should be downweighted. The new_vendor_large/new_vendor_"
VC0000010584,BANK OF AMERICA - AZ,explained_benign,high,2,downgrade,offcontract; whole_dollar; round_100k; vendor_dependency; peer_outlier,,"99.9% of the $598M flagged is Arizona Lottery Commission ""PRIZE FUND""/""PRIZE FUND REVENUE"" appropriations (OTHER OPERATING EXPENDITURES) — Bank of America is the lottery's prize-fund depository/disbursement bank, the canonical ""Lottery -> banks"" structural-benign case. The remaining ~$5M to STATE TREASURER is appropriation ""BANKING FEES"" (routine state depository service charges), and a single $161K Office of Tourism Prop 202 item is immaterial. No discretionary or off-pattern professional-services spend exists."
IV0000034229,PULICE - FNF - FLATIRON JOINT VENTURE,explained_benign,high,2,annotate,offcontract; no_contract_named; new_vendor_large,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor).","All 100 high-value rows ($523M total FY2021-2025) are to a single agency (Arizona DEPT OF TRANSPORTATION), 100% category CAPITAL OUTLAY, paid from appropriations 'FEDERAL AID' and 'M-RARF CONSTRUCT FREEWAYS OTH RT' (Maricopa County Regional Area Road Fund freeway construction). Payments are large ACH progress draws ($1M-$23M) ramping across years like a multi-year design-build freeway contract. vendor_share_of_agency_year is only 0.8%-3.7% (NOT a concentrated/dominant vendor at ADOT). The spend is fully explained by the appropriation/category as routine major-highway capital construction."
PZ000051407,CONNECT 202 PARTNERS,explained_benign,high,3,annotate,offcontract; no_contract_named; whole_dollar; peer_outlier; nonstd_rail,"Connect 202 Partners is the Fluor-led LLC (with Granite Construction, Ames Construction and Parsons Brinckerhoff) awarded ADOT's ~$1.66B Loop 202 South Mountain Freeway design-build-maintain contract - Arizona's largest highway project and first freeway P3, built 2016-2019 with a 30-year maintenance term.","All 67 high-value rows go to a single agency (ADOT) under appropriations FEDERAL AID ($314M), DEBT SERVICE ($111M) and M-RARF CONSTRUCT FREEWAYS ($47M) - the exact funding streams for a major highway capital project. Spend follows a textbook construction curve: FY2016 $26M ramp-up, FY2017 $187M, FY2018 $250M peak, FY2021 $9M tail. The FY2016 rows DO carry a contract (contract_name CH882701C, contract_number ADOT16-127130 / ADOT16-130420), proving a formal contracted relationship; the offcontract / no_contract_named markers fired only on FY2017+ ACH progress-payment rows where contract fields a"
PZ000012471,BLUE CROSS BLUE SHIELD OF AZ INC,explained_benign,high,1,suppress_marker,"offcontract — contract_number is only ~17% populated even within DOA OTHER OPERATING EXPENDITURES and NULL on every BCBS row; weak/structural per known caveat; whole_dollar — clear misfire: of 113 flagged rows only 1 is actually whole-dollar; the rest carry cents (e.g. 14,356,265.82); peer_outlier — BCBS is the top medical carrier in the benefits appropriation, so a high robust-z vs peers is structurally inevitable, not anomalous",,"All 36 flagged Tier-1 rows and the full ~$416M FY2016-2018 history are recurring ACH payments from DEPT OF ADMINISTRATION, appropriation 'NON APPROPRIATED BENEFITS PROGRAM' (category OTHER OPERATING EXPENDITURES) — the State of Arizona's self-funded employee health-benefits program (ADOA Benefit Services). BCBS is the medical carrier and appears alongside the expected peer set in the same appropriation: MedImpact (pharmacy), UnitedHealthcare, Aetna, Cigna/Connecticut General, Delta Dental, Hartford, Minnesota Life. BCBS being the single largest payee is structurally expected for the dominant m"
IV0000053764,KIEWIT-FANN JOINT VENTURE,explained_benign,high,2,annotate,offcontract; no_contract_named; peer_outlier; new_vendor_large; whole_dollar,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component.","100% of the vendor's ~$385M (105 high-value rows; Tier-1 $315M/49 txns) is a single agency (ADOT / DEPT OF TRANSPORTATION), category CAPITAL OUTLAY, paid by ACH, FY2023-2025. Appropriations are unambiguously construction: INTERSTATE 17 EXPANSION ($164M; AZ's largest active freeway widening), HIGHWAY CONSTRUCTION, FEDERAL AID, M-RARF CONSTRUCT FREEWAYS, and DEBT SERVICE (the I-17 design-build-maintain financing). Payments are $1.9M-$21.8M progress draws — exactly what a freeway prime contractor on a megaproject generates. vendor_share_of_agency_year maxes at only ~2.8%, so it is NOT a dominant/"
PZ000004410,THE UNIVERSITY OF ARIZONA,false_positive_marker,high,1,suppress_marker,peer_outlier; robust_z_in_agencycat; nonstd_rail; offcontract; whole_dollar,,"The three Tier-1 rows ($85.9M, $85.9M warrant-mirror, $62.2M) are all the agency=UNIVERSITY OF ARIZONA paying payee=THE UNIVERSITY OF ARIZONA under appropriation_1_name='OPERATING LUMP SUM APPROPRIATION - MAIN' (also -HSC), appr_type_canon=1, category=OTHER OPERATING EXPENDITURES, payment_method=WARRANT. This is the State of Arizona's annual general-fund operating lump-sum appropriation to its own public university — an appropriation/intergovernmental flow, not a discretionary vendor payment. The peer_outlier marker and robust_z (z=64 and z=46) and vendor_share_of_agency_year=0.40 fire purely "
